Company,Instrument,Credit Rating,1Y Range,% Assets
8.37% REC 2020,Bonds,AAA,1.24 - 2.20,1.89
8.37% REC 2028,Debenture,AAA,0.00 - 2.71,1.79
7.9% Tata Sons 2020,Debenture,AAA,1.78 - 2.41,1.78
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,0.00 - 1.65,1.65
7.2525% Bajaj Finance 2020,Debenture,AAA,0.00 - 1.56,1.50
9.3434% M&M Financial Services 2020,Bonds/Debentures,AAA,0.00 - 2.66,1.49
8.5% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.47 - 2.83,1.42
8.8% IDFC First Bank 2021,Debenture,AA+,0.00 - 1.57,1.42
8.24% GOI 2027,Central Government Loan,SOV,0.00 - 1.39,1.39
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,0.19 - 2.77,1.39
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 1.60,1.32
9.3% Fullerton India Credit 2021,Debenture,AAA,0.00 - 2.47,1.28
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,1.27 - 1.66,1.27
Cholamandalam Invest. & Fin. 351-D 13/03/2020,Commercial Paper,A1+,0.00 - 1.30,1.26
7.42% Power Finance Corp. 2020,Debenture,AAA,0.80 - 1.27,1.21
7.24% LIC Housing Fin. 2021,Non Convertible Debenture,AAA,0.00 - 1.20,1.20
7.532% M&M Financial Services 2020,Non Convertible Debenture,AAA,0.00 - 1.38,1.20
Reliance Industries 90-D 14/11/2019,Commercial Paper,A1+,0.00 - 1.20,1.20
9. Aditya Birla Sun Life Corporate Bond Fund - Direct Plan
7.68% ONGC Petro Additions 2020,Structured Obligation,AAA,4.46 - 5.83,4.46
8.65% M&M Financial Services 2021,Debenture,AAA,0.00 - 2.85,2.70
8.2% Power Finance Corp. 2020,Bonds/NCDs,AAA,0.00 - 3.07,2.55
6.95% Reliance Industries 2020,Debenture,AAA,0.00 - 2.55,2.49
7.17% GOI 2028,GOI Securities,SOV,0.01 - 10.36,2.47
Oriental Bank of Com. 2019,Certificate of Deposit,A1+,0.00 - 2.15,2.15
7.3% Power Finance Corp. 2020,Debenture,AAA,2.10 - 2.55,2.11
8.37% REC 2020,Bonds,AAA,1.24 - 2.20,1.89
8.37% REC 2028,Debenture,AAA,0.00 - 2.71,1.79
7.9% Tata Sons 2020,Debenture,AAA,1.78 - 2.41,1.78
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,0.00 - 1.65,1.65
7.2525% Bajaj Finance 2020,Debenture,AAA,0.00 - 1.56,1.50
9.3434% M&M Financial Services 2020,Bonds/Debentures,AAA,0.00 - 2.66,1.49
8.5% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.47 - 2.83,1.42
8.8% IDFC First Bank 2021,Debenture,AA+,0.00 - 1.57,1.42
8.24% GOI 2027,Central Government Loan,SOV,0.00 - 1.39,1.39
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,0.19 - 2.77,1.39
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 1.60,1.32
9.3% Fullerton India Credit 2021,Debenture,AAA,0.00 - 2.47,1.28
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,1.27 - 1.66,1.27
Cholamandalam Invest. & Fin. 351-D 13/03/2020,Commercial Paper,A1+,0.00 - 1.30,1.26
7.42% Power Finance Corp. 2020,Debenture,AAA,0.80 - 1.27,1.21
7.24% LIC Housing Fin. 2021,Non Convertible Debenture,AAA,0.00 - 1.20,1.20
7.532% M&M Financial Services 2020,Non Convertible Debenture,AAA,0.00 - 1.38,1.20
Reliance Industries 90-D 14/11/2019,Commercial Paper,A1+,0.00 - 1.20,1.20
10. Aditya Birla Sun Life Credit Risk Fund - Direct Plan
Adilink Infra & Multitrading 2020,Debenture,Unrated,3.56 - 5.08,4.89
SP Imperial Star 2022,Debenture,A,2.88 - 4.05,4.05
Sprit Infrapower and Multiventures 2021,Debenture,BBB-,0.00 - 6.38,3.62
6.99% Air India Assets Holdings 2022,Debenture,AAA,0.00 - 2.89,2.89
Adani Properties 2021,Debenture,AA-,1.90 - 2.82,2.82
10.1% L&T Vadodara Bharuch Tollway 2021,Debenture,A,2.11 - 2.78,2.78
TMF Holdings 2020,Debenture,AA-,0.00 - 2.77,2.77
Asirvad Microfinance 2021,Debenture,AA-,0.00 - 2.66,2.66
7.68% ONGC Petro Additions 2020,Structured Obligation,AAA,1.85 - 2.48,2.48
Reliance Industries 158-D 13/12/2019,Commercial Paper,A1+,0.00 - 2.45,2.45
8.81% JM Financial Products 2020,Debenture,AA,1.81 - 2.41,2.41
13.5% Spandana Sphoorty Financial 2020,Debenture,A-,0.00 - 3.14,2.30
9.48% Tata Power 2019,Non Convertible Debenture,AA,0.00 - 2.24,2.24
8.5% National Bank Agr. Rur. Devp,Debenture,AAA,0.00 - 2.23,2.23
8.9% State Bank of India 2028,Non Convertible Debenture,AAA,0.00 - 2.00,2.00
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,1.08 - 1.41,1.41
8.45% Power Finance Corp. 2022,Non Convertible Debenture,AAA,0.00 - 1.36,1.36
9.37% State Bank of India 2023,Debenture,AA+,0.00 - 1.91,1.35
9.15% Coastal Gujarat Power 2021,Debenture,AA,0.00 - 1.34,1.34
9.21% Punjab National Bank,Bonds,AA,0.90 - 1.21,1.21
13.2% Shriram Properties 2021,Debenture,BBB,1.08 - 1.22,1.15
12.46% Lendingkart Finance 2020,Debenture,BBB+,0.00 - 1.69,1.14
Indusind Bank 2019,Non Convertible Debenture,AA,0.00 - 1.14,1.14
11.25% Syndicate Bank,Bonds,AA-,0.00 - 1.10,1.10
Reliance Retail Ltd. 2020,Securitised Debt,AAA,0.79 - 1.06,1.06
11. Aditya Birla Sun Life Credit Risk Fund - Regular Plan
Adilink Infra & Multitrading 2020,Debenture,Unrated,3.56 - 5.08,4.89
SP Imperial Star 2022,Debenture,A,2.88 - 4.05,4.05
Sprit Infrapower and Multiventures 2021,Debenture,BBB-,0.00 - 6.38,3.62
6.99% Air India Assets Holdings 2022,Debenture,AAA,0.00 - 2.89,2.89
Adani Properties 2021,Debenture,AA-,1.90 - 2.82,2.82
10.1% L&T Vadodara Bharuch Tollway 2021,Debenture,A,2.11 - 2.78,2.78
TMF Holdings 2020,Debenture,AA-,0.00 - 2.77,2.77
Asirvad Microfinance 2021,Debenture,AA-,0.00 - 2.66,2.66
7.68% ONGC Petro Additions 2020,Structured Obligation,AAA,1.85 - 2.48,2.48
Reliance Industries 158-D 13/12/2019,Commercial Paper,A1+,0.00 - 2.45,2.45
8.81% JM Financial Products 2020,Debenture,AA,1.81 - 2.41,2.41
13.5% Spandana Sphoorty Financial 2020,Debenture,A-,0.00 - 3.14,2.30
9.48% Tata Power 2019,Non Convertible Debenture,AA,0.00 - 2.24,2.24
8.5% National Bank Agr. Rur. Devp,Debenture,AAA,0.00 - 2.23,2.23
8.9% State Bank of India 2028,Non Convertible Debenture,AAA,0.00 - 2.00,2.00
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,1.08 - 1.41,1.41
8.45% Power Finance Corp. 2022,Non Convertible Debenture,AAA,0.00 - 1.36,1.36
9.37% State Bank of India 2023,Debenture,AA+,0.00 - 1.91,1.35
9.15% Coastal Gujarat Power 2021,Debenture,AA,0.00 - 1.34,1.34
9.21% Punjab National Bank,Bonds,AA,0.90 - 1.21,1.21
13.2% Shriram Properties 2021,Debenture,BBB,1.08 - 1.22,1.15
12.46% Lendingkart Finance 2020,Debenture,BBB+,0.00 - 1.69,1.14
Indusind Bank 2019,Non Convertible Debenture,AA,0.00 - 1.14,1.14
11.25% Syndicate Bank,Bonds,AA-,0.00 - 1.10,1.10
Reliance Retail Ltd. 2020,Securitised Debt,AAA,0.79 - 1.06,1.06
14. Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan
7.95% GOI 2032,GOI Securities,SOV,0.00 - 10.52,10.52
Adani Rail Infra 2020,Debenture,AA-,4.61 - 8.78,8.78
Adilink Infra & Multitrading 2020,Debenture,Unrated,4.03 - 7.50,7.25
Sprit Infrapower and Multiventures 2021,Debenture,BBB-,0.00 - 11.36,6.49
8.85% Power Finance Corp. 2029,Bonds/NCDs,AAA,0.00 - 6.54,5.06
8.24% National Bank Agr. Rur. Devp 2029,Debenture,AAA,0.00 - 5.38,3.32
8.3% IRFC 2029,Debenture,AAA,0.00 - 4.08,3.22
L&T Finance 333-D 10/12/2019,Commercial Paper,A1+,0.00 - 3.21,3.21
8.95% Punjab National Bank,Bonds,AA,1.80 - 3.18,3.18
8.3% REC 2029,Non Convertible Debenture,AAA,0.00 - 3.43,2.54
8.41% HUDCO 2029,Debenture,AAA,0.00 - 3.71,2.40
7.26% GOI 2029,GOI Securities,SOV,0.00 - 7.77,2.35
8.27% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 4.28,2.18
8.5% National Bank Agr. Rur. Devp 2029,Non Convertible Debenture,AAA,0.00 - 2.07,2.07
9.1% Union Bank of India,Non Convertible Debenture,AA,0.90 - 1.58,1.58
8.24% Power Grid Corporation 2029,Debenture,AAA,0.00 - 2.70,1.54
10.15% Uttar Pradesh Power Corporation 2021,Debenture,A+,0.67 - 1.14,1.14
9.1% India Grid Trust 2022,Debenture,AAA,0.00 - 1.54,1.14
10.15% Uttar Pradesh Power Corporation 2023,Debenture,A+,0.67 - 1.13,1.13
10.15% Uttar Pradesh Power Corporation 2024,Debenture,A+,0.67 - 1.13,1.13
10.15% Uttar Pradesh Power Corporation 2025,Debenture,A+,0.67 - 1.11,1.11
10.15% Uttar Pradesh Power Corporation 2026,Debenture,A+,0.67 - 1.10,1.10
10.15% Uttar Pradesh Power Corporation 2027,Debenture,A+,0.67 - 1.10,1.10
10.15% Uttar Pradesh Power Corporation 2028,Debenture,A+,0.67 - 1.07,1.07
8.12% NHPC 2029,Debenture,AAA,0.00 - 2.31,1.02
15. Aditya Birla Sun Life Dynamic Bond Fund - Retail Plan
7.95% GOI 2032,GOI Securities,SOV,0.00 - 10.52,10.52
Adani Rail Infra 2020,Debenture,AA-,4.61 - 8.78,8.78
Adilink Infra & Multitrading 2020,Debenture,Unrated,4.03 - 7.50,7.25
Sprit Infrapower and Multiventures 2021,Debenture,BBB-,0.00 - 11.36,6.49
8.85% Power Finance Corp. 2029,Bonds/NCDs,AAA,0.00 - 6.54,5.06
8.24% National Bank Agr. Rur. Devp 2029,Debenture,AAA,0.00 - 5.38,3.32
8.3% IRFC 2029,Debenture,AAA,0.00 - 4.08,3.22
L&T Finance 333-D 10/12/2019,Commercial Paper,A1+,0.00 - 3.21,3.21
8.95% Punjab National Bank,Bonds,AA,1.80 - 3.18,3.18
8.3% REC 2029,Non Convertible Debenture,AAA,0.00 - 3.43,2.54
8.41% HUDCO 2029,Debenture,AAA,0.00 - 3.71,2.40
7.26% GOI 2029,GOI Securities,SOV,0.00 - 7.77,2.35
8.27% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 4.28,2.18
8.5% National Bank Agr. Rur. Devp 2029,Non Convertible Debenture,AAA,0.00 - 2.07,2.07
9.1% Union Bank of India,Non Convertible Debenture,AA,0.90 - 1.58,1.58
8.24% Power Grid Corporation 2029,Debenture,AAA,0.00 - 2.70,1.54
10.15% Uttar Pradesh Power Corporation 2021,Debenture,A+,0.67 - 1.14,1.14
9.1% India Grid Trust 2022,Debenture,AAA,0.00 - 1.54,1.14
10.15% Uttar Pradesh Power Corporation 2023,Debenture,A+,0.67 - 1.13,1.13
10.15% Uttar Pradesh Power Corporation 2024,Debenture,A+,0.67 - 1.13,1.13
10.15% Uttar Pradesh Power Corporation 2025,Debenture,A+,0.67 - 1.11,1.11
10.15% Uttar Pradesh Power Corporation 2026,Debenture,A+,0.67 - 1.10,1.10
10.15% Uttar Pradesh Power Corporation 2027,Debenture,A+,0.67 - 1.10,1.10
10.15% Uttar Pradesh Power Corporation 2028,Debenture,A+,0.67 - 1.07,1.07
8.12% NHPC 2029,Debenture,AAA,0.00 - 2.31,1.02
20. Aditya Birla Sun Life Fixed Term Plan - Series OD (1145 Days) - Direct Plan
8.32% Uttar Pradesh State 2020,State Development Loan,SOV,15.80 - 17.09,15.80
Bajaj Finance 2020,Debenture,AAA,11.82 - 11.93,11.93
6.73% IRFC 2020,Debenture,AAA,9.97 - 10.55,9.97
HDFC 2020,Debenture,AAA,9.92 - 10.81,9.92
8.15% National Bank Agr. Rur. Devp 2020,Bonds,AAA,9.65 - 10.35,9.65
7.7% HUDCO 2020,Debenture,AAA,2.40 - 8.16,8.06
8.54% Haryana State 2020,State Development Loan,SOV,7.91 - 8.58,7.91
8.02% LIC Housing Fin. 2020,Debenture,AAA,7.74 - 8.25,7.74
8.52% Himachal Pradesh State 2020,State Development Loan,SOV,3.96 - 4.28,3.96
8.57% West Bengal State 2020,State Development Loan,SOV,3.95 - 4.29,3.95
8.36% Power Finance Corp. 2020,Bonds,AAA,2.56 - 2.75,2.56
8.39% Rajasthan State 2020,State Development Loan,SOV,1.98 - 2.14,1.98
Kotak Mahindra Prime 2020,Debenture,AAA,1.61 - 1.62,1.62
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.29,0.29
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.15,0.15
21. Aditya Birla Sun Life Fixed Term Plan - Series OD (1145 Days) - Regular Plan
8.32% Uttar Pradesh State 2020,State Development Loan,SOV,15.80 - 17.09,15.80
Bajaj Finance 2020,Debenture,AAA,11.82 - 11.93,11.93
6.73% IRFC 2020,Debenture,AAA,9.97 - 10.55,9.97
HDFC 2020,Debenture,AAA,9.92 - 10.81,9.92
8.15% National Bank Agr. Rur. Devp 2020,Bonds,AAA,9.65 - 10.35,9.65
7.7% HUDCO 2020,Debenture,AAA,2.40 - 8.16,8.06
8.54% Haryana State 2020,State Development Loan,SOV,7.91 - 8.58,7.91
8.02% LIC Housing Fin. 2020,Debenture,AAA,7.74 - 8.25,7.74
8.52% Himachal Pradesh State 2020,State Development Loan,SOV,3.96 - 4.28,3.96
8.57% West Bengal State 2020,State Development Loan,SOV,3.95 - 4.29,3.95
8.36% Power Finance Corp. 2020,Bonds,AAA,2.56 - 2.75,2.56
8.39% Rajasthan State 2020,State Development Loan,SOV,1.98 - 2.14,1.98
Kotak Mahindra Prime 2020,Debenture,AAA,1.61 - 1.62,1.62
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.29,0.29
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.15,0.15
22. Aditya Birla Sun Life Fixed Term Plan - Series OE (1153 Days) - Direct Plan
8.57% Haryana State 2020,State Development Loan,SOV,25.09 - 27.17,25.09
Bajaj Finance 2020,Debenture,AAA,11.37 - 11.47,11.47
8.02% LIC Housing Fin. 2020,Debenture,AAA,9.72 - 10.37,9.72
7.7% HUDCO 2020,Debenture,AAA,3.56 - 9.77,9.65
HDFC 2020,Debenture,AAA,9.42 - 10.28,9.42
8.15% National Bank Agr. Rur. Devp 2020,Bonds,AAA,7.79 - 8.37,7.79
6.73% IRFC 2020,Debenture,AAA,7.76 - 8.22,7.76
6.83% Power Finance Corp. 2020,Bonds,AAA,7.26 - 7.71,7.26
8.56% Punjab State 2020,State Development Loan,SOV,3.92 - 4.24,3.92
Kotak Mahindra Prime 2020,Debenture,AAA,1.78 - 1.79,1.79
8.36% Power Finance Corp. 2020,Bonds,AAA,1.56 - 1.67,1.56
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.19,0.19
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.15,0.15
23. Aditya Birla Sun Life Fixed Term Plan - Series OE (1153 Days) - Regular Plan
8.57% Haryana State 2020,State Development Loan,SOV,25.09 - 27.17,25.09
Bajaj Finance 2020,Debenture,AAA,11.37 - 11.47,11.47
8.02% LIC Housing Fin. 2020,Debenture,AAA,9.72 - 10.37,9.72
7.7% HUDCO 2020,Debenture,AAA,3.56 - 9.77,9.65
HDFC 2020,Debenture,AAA,9.42 - 10.28,9.42
8.15% National Bank Agr. Rur. Devp 2020,Bonds,AAA,7.79 - 8.37,7.79
6.73% IRFC 2020,Debenture,AAA,7.76 - 8.22,7.76
6.83% Power Finance Corp. 2020,Bonds,AAA,7.26 - 7.71,7.26
8.56% Punjab State 2020,State Development Loan,SOV,3.92 - 4.24,3.92
Kotak Mahindra Prime 2020,Debenture,AAA,1.78 - 1.79,1.79
8.36% Power Finance Corp. 2020,Bonds,AAA,1.56 - 1.67,1.56
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.19,0.19
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.15,0.15
24. Aditya Birla Sun Life Fixed Term Plan - Series OF (1151 Days) - Direct Plan
TMF Holdings 2020,Debenture,AA-,0.00 - 10.61,10.61
Indiabulls Housing Finance 2020,Debenture,AAA,10.12 - 10.40,10.12
Cholamandalam Invest. & Fin. 2020,Debenture,AA+,10.00 - 10.16,10.12
9.05% Essel Lucknow Raebareli Toll Roads 2020,Debenture,AAA,8.21 - 8.91,8.21
8.19% Tata Housing Devp. Co. 2020,Debenture,AA,8.16 - 8.75,8.16
7.59% REC 2020,Debenture,AAA,0.00 - 8.02,7.97
8.7% Vedanta 2020,Debenture,AA,7.91 - 8.55,7.91
8.49% HDFC 2020,Debenture,AAA,0.00 - 5.91,5.76
6.83% Power Finance Corp. 2020,Bonds,AAA,5.40 - 5.78,5.40
SIDBI 2020,Certificate of Deposit,A1+,0.00 - 3.90,3.89
7.7% HUDCO 2020,Debenture,AAA,1.85 - 3.68,3.63
7.58% LIC Housing Fin. 2020,Debenture,AAA,3.02 - 3.23,3.02
11% IL&FS Education and Technology Services 2020,Debenture,B,0.00 - 2.87,1.34
8.36% Power Finance Corp. 2020,Bonds,AAA,1.21 - 1.31,1.21
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.18,0.18
25. Aditya Birla Sun Life Fixed Term Plan - Series OF (1151 Days) - Regular Plan
TMF Holdings 2020,Debenture,AA-,0.00 - 10.61,10.61
Indiabulls Housing Finance 2020,Debenture,AAA,10.12 - 10.40,10.12
Cholamandalam Invest. & Fin. 2020,Debenture,AA+,10.00 - 10.16,10.12
9.05% Essel Lucknow Raebareli Toll Roads 2020,Debenture,AAA,8.21 - 8.91,8.21
8.19% Tata Housing Devp. Co. 2020,Debenture,AA,8.16 - 8.75,8.16
7.59% REC 2020,Debenture,AAA,0.00 - 8.02,7.97
8.7% Vedanta 2020,Debenture,AA,7.91 - 8.55,7.91
8.49% HDFC 2020,Debenture,AAA,0.00 - 5.91,5.76
6.83% Power Finance Corp. 2020,Bonds,AAA,5.40 - 5.78,5.40
SIDBI 2020,Certificate of Deposit,A1+,0.00 - 3.90,3.89
7.7% HUDCO 2020,Debenture,AAA,1.85 - 3.68,3.63
7.58% LIC Housing Fin. 2020,Debenture,AAA,3.02 - 3.23,3.02
11% IL&FS Education and Technology Services 2020,Debenture,B,0.00 - 2.87,1.34
8.36% Power Finance Corp. 2020,Bonds,AAA,1.21 - 1.31,1.21
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 0.18,0.18
26. Aditya Birla Sun Life Fixed Term Plan - Series OG (1146 Days) - Direct Plan
Bajaj Finance 2020,Debenture,AAA,11.98 - 12.07,12.07
8.36% Power Finance Corp. 2020,Bonds,AAA,10.49 - 11.29,10.49
HDFC 2020,Debenture,AAA,9.92 - 10.82,9.92
6.73% IRFC 2020,Debenture,AAA,9.81 - 10.39,9.81
8.15% National Bank Agr. Rur. Devp 2020,Bonds,AAA,9.76 - 10.48,9.76
8.2% Power Grid Corporation 2020,Debenture,AAA,9.75 - 10.50,9.75
8.53% Assam State 2020,State Development Loan,SOV,9.54 - 10.37,9.54
8.658% HDB Financial Services 2020,Bonds,AAA,6.57 - 7.03,6.57
8.02% LIC Housing Fin. 2020,Debenture,AAA,6.38 - 6.81,6.38
7.7% HUDCO 2020,Debenture,AAA,3.50 - 3.90,3.85
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 3.06,3.06
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 1.72,1.72
Kotak Mahindra Prime 2020,Debenture,AAA,0.31 - 0.31,0.31
27. Aditya Birla Sun Life Fixed Term Plan - Series OG (1146 Days) - Regular Plan
Bajaj Finance 2020,Debenture,AAA,11.98 - 12.07,12.07
8.36% Power Finance Corp. 2020,Bonds,AAA,10.49 - 11.29,10.49
HDFC 2020,Debenture,AAA,9.92 - 10.82,9.92
6.73% IRFC 2020,Debenture,AAA,9.81 - 10.39,9.81
8.15% National Bank Agr. Rur. Devp 2020,Bonds,AAA,9.76 - 10.48,9.76
8.2% Power Grid Corporation 2020,Debenture,AAA,9.75 - 10.50,9.75
8.53% Assam State 2020,State Development Loan,SOV,9.54 - 10.37,9.54
8.658% HDB Financial Services 2020,Bonds,AAA,6.57 - 7.03,6.57
