Company,Instrument,Credit Rating,1Y Range,% Assets
HDFC Bank 92-D 13/11/2019,Fixed Deposits,-,0.00 - 0.36,0.36
9.5% Nayara Energy 2021,Bonds/NCDs,AA,0.34 - 0.37,0.36
49. ICICI Prudential Capital Protection Oriented Fund - Series IX - 1325 Days - Plan E
Reserve Bank of India 182-D 10/10/2019,Treasury Bills,SOV,0.00 - 29.02,28.83
Bajaj Finance 2019,Zero Coupon Bonds,AAA,9.96 - 10.24,10.18
9.04% REC 2019,Bonds,AAA,8.67 - 9.26,8.67
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 9.91,8.65
8.97% LIC Housing Fin. 2019,Debenture,AAA,6.29 - 6.68,6.29
50. ICICI Prudential Capital Protection Oriented Fund - Series IX - 1325 Days - Plan E - Direct Plan
Reserve Bank of India 182-D 10/10/2019,Treasury Bills,SOV,0.00 - 29.02,28.83
Bajaj Finance 2019,Zero Coupon Bonds,AAA,9.96 - 10.24,10.18
9.04% REC 2019,Bonds,AAA,8.67 - 9.26,8.67
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 9.91,8.65
8.97% LIC Housing Fin. 2019,Debenture,AAA,6.29 - 6.68,6.29
51. ICICI Prudential Capital Protection Oriented Fund - Series IX - 1378 Days - Plan D
9.04% REC 2019,Bonds,AAA,13.37 - 14.29,13.37
Reserve Bank of India 182-D 10/10/2019,Treasury Bills,SOV,0.00 - 10.04,9.99
8.93% Power Grid Corporation 2019,Bonds,AAA,8.74 - 9.33,8.74
8.85% Power Grid Corporation 2019,Bonds,AAA,4.55 - 4.85,4.55
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 3.74,3.72
52. ICICI Prudential Capital Protection Oriented Fund - Series IX - 1378 Days - Plan D - Direct Plan
9.04% REC 2019,Bonds,AAA,13.37 - 14.29,13.37
Reserve Bank of India 182-D 10/10/2019,Treasury Bills,SOV,0.00 - 10.04,9.99
8.93% Power Grid Corporation 2019,Bonds,AAA,8.74 - 9.33,8.74
8.85% Power Grid Corporation 2019,Bonds,AAA,4.55 - 4.85,4.55
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 3.74,3.72
53. ICICI Prudential Capital Protection Oriented Fund - Series VII - 1822 Days - Plan D
8.52% Power Finance Corp. 2019,Bonds,AAA,14.82 - 15.65,14.83
8.97% LIC Housing Fin. 2019,Debenture,AAA,14.80 - 15.67,14.80
9.25% Power Grid Corporation 2019,Bonds,AAA,13.02 - 13.82,13.02
6.54% Export-Import Bank 2019,Bonds,AAA,0.00 - 9.56,9.46
9.04% REC 2019,Bonds,AAA,5.91 - 6.30,5.91
54. ICICI Prudential Capital Protection Oriented Fund - Series VII - 1822 Days - Plan D - Direct Plan
8.52% Power Finance Corp. 2019,Bonds,AAA,14.82 - 15.65,14.83
8.97% LIC Housing Fin. 2019,Debenture,AAA,14.80 - 15.67,14.80
9.25% Power Grid Corporation 2019,Bonds,AAA,13.02 - 13.82,13.02
6.54% Export-Import Bank 2019,Bonds,AAA,0.00 - 9.56,9.46
9.04% REC 2019,Bonds,AAA,5.91 - 6.30,5.91
55. ICICI Prudential Capital Protection Oriented Fund - Series X - 1235 Days - Plan A
8.31% Uttar Pradesh State 2019,State Development Loan,SOV,27.36 - 29.25,27.36
8.96% Power Finance Corp. 2019,Bonds,AAA,8.63 - 9.19,8.63
9.04% REC 2019,Bonds,AAA,8.48 - 9.05,8.48
8.84% Power Grid Corporation 2019,Bonds,AAA,7.51 - 8.00,7.51
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 2.18,2.17
56. ICICI Prudential Capital Protection Oriented Fund - Series X - 1235 Days - Plan A - Direct Plan
8.31% Uttar Pradesh State 2019,State Development Loan,SOV,27.36 - 29.25,27.36
8.96% Power Finance Corp. 2019,Bonds,AAA,8.63 - 9.19,8.63
9.04% REC 2019,Bonds,AAA,8.48 - 9.05,8.48
8.84% Power Grid Corporation 2019,Bonds,AAA,7.51 - 8.00,7.51
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 2.18,2.17
57. ICICI Prudential Capital Protection Oriented Fund - Series X - 1375 Days - Plan B
8.25% Uttar Pradesh State 2020,State Development Loan,SOV,0.00 - 15.08,14.96
M&M Financial Services 2020,Debenture,AAA,9.31 - 9.55,9.54
8.39% Rajasthan State 2020,State Development Loan,SOV,8.55 - 9.08,8.55
8.75% HDFC 2020,Debenture,AAA,8.51 - 8.98,8.51
8.21% Rajasthan State 2020,State Development Loan,SOV,0.00 - 6.46,6.41
8.36% Power Finance Corp. 2020,Bonds,AAA,6.39 - 6.74,6.39
8.48% Andhra Pradesh State 2020,State Development Loan,SOV,0.00 - 6.32,6.32
8.75% LIC Housing Fin. 2020,Debenture,AAA,5.53 - 5.84,5.53
8.9% Reliance Jio Infocomm 2020,Debenture,AAA,4.48 - 4.92,4.68
8.32% Tamilnadu State 2020,State Development Loan,SOV,4.26 - 4.54,4.26
8.54% Haryana State 2020,State Development Loan,SOV,3.77 - 4.01,3.77
8.2% National Bank Agr. Rur. Devp 2020,Privately Placed Debts,AAA,1.41 - 1.48,1.41
1.5% HDFC 2020,Debenture,AAA,0.87 - 0.93,0.87
7.7% HUDCO 2020,Debenture,AAA,0.00 - 0.88,0.85
7.6411% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.64,0.64
8.87% REC 2020,Bonds,AAA,0.43 - 0.45,0.43
8.02% LIC Housing Fin. 2020,Debenture,AAA,0.43 - 0.45,0.43
9.04% REC 2019,Bonds,AAA,0.21 - 0.23,0.21
8.31% Uttar Pradesh State 2019,State Development Loan,SOV,0.21 - 0.23,0.21
58. ICICI Prudential Capital Protection Oriented Fund - Series X - 1375 Days - Plan B - Direct Plan
8.25% Uttar Pradesh State 2020,State Development Loan,SOV,0.00 - 15.08,14.96
M&M Financial Services 2020,Debenture,AAA,9.31 - 9.55,9.54
8.39% Rajasthan State 2020,State Development Loan,SOV,8.55 - 9.08,8.55
8.75% HDFC 2020,Debenture,AAA,8.51 - 8.98,8.51
8.21% Rajasthan State 2020,State Development Loan,SOV,0.00 - 6.46,6.41
8.36% Power Finance Corp. 2020,Bonds,AAA,6.39 - 6.74,6.39
8.48% Andhra Pradesh State 2020,State Development Loan,SOV,0.00 - 6.32,6.32
8.75% LIC Housing Fin. 2020,Debenture,AAA,5.53 - 5.84,5.53
8.9% Reliance Jio Infocomm 2020,Debenture,AAA,4.48 - 4.92,4.68
8.32% Tamilnadu State 2020,State Development Loan,SOV,4.26 - 4.54,4.26
8.54% Haryana State 2020,State Development Loan,SOV,3.77 - 4.01,3.77
8.2% National Bank Agr. Rur. Devp 2020,Privately Placed Debts,AAA,1.41 - 1.48,1.41
1.5% HDFC 2020,Debenture,AAA,0.87 - 0.93,0.87
7.7% HUDCO 2020,Debenture,AAA,0.00 - 0.88,0.85
7.6411% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.64,0.64
8.87% REC 2020,Bonds,AAA,0.43 - 0.45,0.43
8.02% LIC Housing Fin. 2020,Debenture,AAA,0.43 - 0.45,0.43
9.04% REC 2019,Bonds,AAA,0.21 - 0.23,0.21
8.31% Uttar Pradesh State 2019,State Development Loan,SOV,0.21 - 0.23,0.21
59. ICICI Prudential Capital Protection Oriented Fund Series XII Plan A 1168 Days
8.32% Punjab State 2020,State Development Loan,SOV,39.44 - 42.19,39.44
1.5% HDFC 2020,Debenture,AAA,9.92 - 10.74,9.92
7.78% LIC Housing Fin. 2020,Debenture,AAA,9.72 - 10.26,9.72
7.9% Tata Sons 2020,Debenture,AAA,6.80 - 10.66,6.80
7.3% Power Finance Corp. 2020,Debenture,AAA,6.79 - 7.18,6.79
SIDBI 2020,Debenture,A1+,0.00 - 4.91,4.90
7.7% HDB Financial Services 2020,Debenture,AAA,4.85 - 5.12,4.85
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 2.37,2.26
8.5% IRFC 2020,Bonds,AAA,0.33 - 0.35,0.33
60. ICICI Prudential Capital Protection Oriented Fund Series XII Plan A 1168 Days - Direct Plan
8.32% Punjab State 2020,State Development Loan,SOV,39.44 - 42.19,39.44
1.5% HDFC 2020,Debenture,AAA,9.92 - 10.74,9.92
7.78% LIC Housing Fin. 2020,Debenture,AAA,9.72 - 10.26,9.72
7.9% Tata Sons 2020,Debenture,AAA,6.80 - 10.66,6.80
7.3% Power Finance Corp. 2020,Debenture,AAA,6.79 - 7.18,6.79
SIDBI 2020,Debenture,A1+,0.00 - 4.91,4.90
7.7% HDB Financial Services 2020,Debenture,AAA,4.85 - 5.12,4.85
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 2.37,2.26
8.5% IRFC 2020,Bonds,AAA,0.33 - 0.35,0.33
61. ICICI Prudential Capital Protection Oriented Fund Series XII Plan C 1270 Days
8.39% Rajasthan State 2021,State Development Loan,SOV,36.34 - 38.13,36.34
8.6% LIC Housing Fin. 2021,Bonds/Debentures,AAA,9.01 - 9.37,9.01
7.52% HDB Financial Services 2020,Debenture,AAA,8.89 - 9.21,8.89
7.85% Tata Sons 2021,Privately Placed Debts,AAA,8.83 - 9.21,8.83
8.78% NHPC 2021,Bonds,AAA,7.27 - 7.61,7.27
8.75% HDFC 2021,Debenture,AAA,7.22 - 7.52,7.22
8.34% Punjab State 2020,State Development Loan,SOV,1.81 - 1.91,1.81
62. ICICI Prudential Capital Protection Oriented Fund Series XII Plan C 1270 Days - Direct Plan
8.39% Rajasthan State 2021,State Development Loan,SOV,36.34 - 38.13,36.34
8.6% LIC Housing Fin. 2021,Bonds/Debentures,AAA,9.01 - 9.37,9.01
7.52% HDB Financial Services 2020,Debenture,AAA,8.89 - 9.21,8.89
7.85% Tata Sons 2021,Privately Placed Debts,AAA,8.83 - 9.21,8.83
8.78% NHPC 2021,Bonds,AAA,7.27 - 7.61,7.27
8.75% HDFC 2021,Debenture,AAA,7.22 - 7.52,7.22
8.34% Punjab State 2020,State Development Loan,SOV,1.81 - 1.91,1.81
63. ICICI Prudential Capital Protection Oriented Fund Series XIV Plan A 1275 Days
8.39% Rajasthan State 2026,State Development Loan,SOV,19.09 - 20.19,19.09
M&M Financial Services 2022,Debenture,AAA,9.82 - 10.08,9.94
Sundaram Finance 2022,Zero Coupon Bonds,AAA,9.59 - 9.84,9.78
9.1791% Tata Capital Housing Finance 2022,Debenture,AAA,9.23 - 9.72,9.23
8.46% HUDCO 2022,Non Convertible Debenture,AAA,9.04 - 9.54,9.04
8.45% REC 2022,Debenture,AAA,5.51 - 9.22,5.51
8.35% REC 2022,Debenture,AAA,0.00 - 3.59,3.53
8.25% Tata Sons 2022,Debenture,AAA,0.00 - 3.54,3.46
7.95% SIDBI 2022,Debenture,AAA,0.00 - 7.04,3.35
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 3.24,3.17
8.21% Rajasthan State 2022,State Development Loan,SOV,0.00 - 2.45,2.38
Bajaj Finance 2022,Zero Coupon Bonds,AAA,1.03 - 1.07,1.06
8.68% Uttar Pradesh State 2022,State Development Loan,SOV,0.00 - 0.73,0.72
64. ICICI Prudential Capital Protection Oriented Fund Series XIV Plan A 1275 Days - Direct Plan
8.39% Rajasthan State 2026,State Development Loan,SOV,19.09 - 20.19,19.09
M&M Financial Services 2022,Debenture,AAA,9.82 - 10.08,9.94
Sundaram Finance 2022,Zero Coupon Bonds,AAA,9.59 - 9.84,9.78
9.1791% Tata Capital Housing Finance 2022,Debenture,AAA,9.23 - 9.72,9.23
8.46% HUDCO 2022,Non Convertible Debenture,AAA,9.04 - 9.54,9.04
8.45% REC 2022,Debenture,AAA,5.51 - 9.22,5.51
8.35% REC 2022,Debenture,AAA,0.00 - 3.59,3.53
8.25% Tata Sons 2022,Debenture,AAA,0.00 - 3.54,3.46
7.95% SIDBI 2022,Debenture,AAA,0.00 - 7.04,3.35
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 3.24,3.17
8.21% Rajasthan State 2022,State Development Loan,SOV,0.00 - 2.45,2.38
Bajaj Finance 2022,Zero Coupon Bonds,AAA,1.03 - 1.07,1.06
8.68% Uttar Pradesh State 2022,State Development Loan,SOV,0.00 - 0.73,0.72
65. ICICI Prudential Capital Protection Oriented Fund XI 1222 Days Plan B
8.32% Uttar Pradesh State 2020,State Development Loan,SOV,36.66 - 39.09,36.66
8.95% Power Finance Corp. 2020,Bonds,AAA,9.88 - 10.49,9.88
8.68% LIC Housing Fin. 2020,Debenture,AAA,9.87 - 10.39,9.87
8.75% HDFC 2020,Debenture,AAA,9.83 - 10.42,9.83
7.9% Tata Sons 2020,Debenture,AAA,5.61 - 5.88,5.61
8.48% Andhra Pradesh State 2020,State Development Loan,SOV,0.00 - 5.36,5.36
8.2% National Bank Agr. Rur. Devp 2020,Privately Placed Debts,AAA,4.22 - 4.46,4.22
7.6411% Bajaj Finance 2020,Debenture,AAA,0.00 - 2.54,2.53
7.7% HUDCO 2020,Debenture,AAA,0.00 - 2.33,2.25
9.25% Power Grid Corporation 2019,Bonds,AAA,0.70 - 0.75,0.70
66. ICICI Prudential Capital Protection Oriented Fund XI 1222 Days Plan B - Direct Plan
8.32% Uttar Pradesh State 2020,State Development Loan,SOV,36.66 - 39.09,36.66
8.95% Power Finance Corp. 2020,Bonds,AAA,9.88 - 10.49,9.88
8.68% LIC Housing Fin. 2020,Debenture,AAA,9.87 - 10.39,9.87
8.75% HDFC 2020,Debenture,AAA,9.83 - 10.42,9.83
7.9% Tata Sons 2020,Debenture,AAA,5.61 - 5.88,5.61
8.48% Andhra Pradesh State 2020,State Development Loan,SOV,0.00 - 5.36,5.36
8.2% National Bank Agr. Rur. Devp 2020,Privately Placed Debts,AAA,4.22 - 4.46,4.22
7.6411% Bajaj Finance 2020,Debenture,AAA,0.00 - 2.54,2.53
7.7% HUDCO 2020,Debenture,AAA,0.00 - 2.33,2.25
9.25% Power Grid Corporation 2019,Bonds,AAA,0.70 - 0.75,0.70
67. ICICI Prudential Capital Protection Oriented Fund XI 1222 Days Plan E
8.01% Rajasthan State 2020,State Development Loan,SOV,44.60 - 47.61,44.60
1.5% HDFC 2020,Debenture,AAA,10.24 - 11.13,10.24
7.9% Tata Sons 2020,Debenture,AAA,10.05 - 10.64,10.05
8.68% LIC Housing Fin. 2020,Debenture,AAA,6.47 - 7.95,6.47
SIDBI 2020,Debenture,A1+,0.00 - 5.54,5.52
8.7% Power Finance Corp. 2020,Bonds,AAA,2.02 - 2.16,2.02
7.74% LIC Housing Fin. 2020,Debenture,AAA,2.01 - 2.12,2.01
7.42% Power Finance Corp. 2020,Debenture,AAA,2.01 - 2.12,2.01
8.4% Power Grid Corporation 2020,Debenture,AAA,0.00 - 2.07,1.01
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,0.00 - 1.03,1.01
8.48% Andhra Pradesh State 2020,State Development Loan,SOV,0.00 - 0.81,0.81
3% HDB Financial Services 2020,Debenture,AAA,0.47 - 0.48,0.48
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.42,0.40
68. ICICI Prudential Capital Protection Oriented Fund XI 1222 Days Plan E - Direct Plan
8.01% Rajasthan State 2020,State Development Loan,SOV,44.60 - 47.61,44.60
1.5% HDFC 2020,Debenture,AAA,10.24 - 11.13,10.24
7.9% Tata Sons 2020,Debenture,AAA,10.05 - 10.64,10.05
8.68% LIC Housing Fin. 2020,Debenture,AAA,6.47 - 7.95,6.47
SIDBI 2020,Debenture,A1+,0.00 - 5.54,5.52
8.7% Power Finance Corp. 2020,Bonds,AAA,2.02 - 2.16,2.02
7.74% LIC Housing Fin. 2020,Debenture,AAA,2.01 - 2.12,2.01
7.42% Power Finance Corp. 2020,Debenture,AAA,2.01 - 2.12,2.01
8.4% Power Grid Corporation 2020,Debenture,AAA,0.00 - 2.07,1.01
8.53% Power Finance Corp. 2020,Bonds/Debentures,AAA,0.00 - 1.03,1.01
8.48% Andhra Pradesh State 2020,State Development Loan,SOV,0.00 - 0.81,0.81
3% HDB Financial Services 2020,Debenture,AAA,0.47 - 0.48,0.48
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 0.42,0.40
69. ICICI Prudential Capital Protection Oriented Fund XI 1247 Days Plan D
8.03% Uttar Pradesh State 2020,State Development Loan,SOV,29.28 - 31.12,29.28
1.5% HDFC 2020,Debenture,AAA,10.29 - 11.12,10.29
Kotak Mahindra Investments 2020,Debenture,AAA,8.54 - 8.78,8.77
7.85% Tata Sons 2020,Bonds/Debentures,AAA,7.57 - 7.98,7.57
8.01% Rajasthan State 2020,State Development Loan,SOV,6.37 - 6.76,6.37
8.6% LIC Housing Fin. 2020,Debenture,AAA,6.36 - 6.69,6.36
SIDBI 2020,Debenture,A1+,0.00 - 4.91,4.90
8.39% Rajasthan State 2020,State Development Loan,SOV,3.81 - 4.08,3.81
8.37% National Bank Agr. Rur. Devp 2020,Debenture,AAA,3.18 - 4.04,3.18
7.7% HDB Financial Services 2020,Debenture,AAA,2.90 - 3.03,2.90
8.7% Power Finance Corp. 2020,Bonds,AAA,2.54 - 2.70,2.54
8.4% Power Grid Corporation 2020,Debenture,AAA,0.00 - 1.30,1.27
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 1.31,1.26
8.13% Power Grid Corporation 2020,Debenture,AAA,0.63 - 0.67,0.63
70. ICICI Prudential Capital Protection Oriented Fund XI 1247 Days Plan D - Direct Plan
8.03% Uttar Pradesh State 2020,State Development Loan,SOV,29.28 - 31.12,29.28
1.5% HDFC 2020,Debenture,AAA,10.29 - 11.12,10.29
Kotak Mahindra Investments 2020,Debenture,AAA,8.54 - 8.78,8.77
7.85% Tata Sons 2020,Bonds/Debentures,AAA,7.57 - 7.98,7.57
8.01% Rajasthan State 2020,State Development Loan,SOV,6.37 - 6.76,6.37
8.6% LIC Housing Fin. 2020,Debenture,AAA,6.36 - 6.69,6.36
SIDBI 2020,Debenture,A1+,0.00 - 4.91,4.90
8.39% Rajasthan State 2020,State Development Loan,SOV,3.81 - 4.08,3.81
8.37% National Bank Agr. Rur. Devp 2020,Debenture,AAA,3.18 - 4.04,3.18
7.7% HDB Financial Services 2020,Debenture,AAA,2.90 - 3.03,2.90
8.7% Power Finance Corp. 2020,Bonds,AAA,2.54 - 2.70,2.54
8.4% Power Grid Corporation 2020,Debenture,AAA,0.00 - 1.30,1.27
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 1.31,1.26
8.13% Power Grid Corporation 2020,Debenture,AAA,0.63 - 0.67,0.63
71. ICICI Prudential Capital Protection Oriented Fund XI 1255 Days Plan C
8.01% Rajasthan State 2020,State Development Loan,SOV,38.67 - 41.36,38.67
Kotak Mahindra Investments 2020,Debenture,AAA,9.71 - 9.92,9.89
1.5% HDFC 2020,Debenture,AAA,9.76 - 10.63,9.76
7.85% Tata Sons 2020,Bonds/Debentures,AAA,7.66 - 8.14,7.66
8.6% LIC Housing Fin. 2020,Debenture,AAA,5.79 - 6.14,5.79
SIDBI 2020,Debenture,A1+,0.00 - 4.74,4.72
8.37% National Bank Agr. Rur. Devp 2020,Debenture,AAA,3.47 - 3.71,3.47
7.6% Bajaj Finance 2020,Debenture,AAA,0.00 - 3.00,2.87
7.25% SIDBI 2020,Bonds,AAA,2.30 - 2.43,2.30
8.38% Power Finance Corp. 2020,Non Convertible Debenture,AAA,0.96 - 1.03,0.96
7.05% Power Finance Corp. 2020,Debenture,AAA,0.57 - 0.61,0.57
72. ICICI Prudential Capital Protection Oriented Fund XI 1255 Days Plan C - Direct Plan
8.01% Rajasthan State 2020,State Development Loan,SOV,38.67 - 41.36,38.67
