Company,Instrument,Credit Rating,1Y Range,% Assets
8.78% NHPC 2020,Bonds,AAA,4.72 - 5.08,4.72
8.85% NHPC 2020,Bonds,AAA,1.43 - 1.54,1.43
5. HSBC Fixed Term Series 129 - Direct Plan
7.7% Sundaram Bnp Paribas Home Finance 2020,Debenture,AA+,9.99 - 10.15,10.14
Shriram City Union Finance 2020,Debenture,AA+,9.89 - 10.06,10.06
10.1% Power Grid Corporation 2020,Bonds,AAA,8.72 - 9.46,8.72
8.37% National Bank Agr. Rur. Devp 2020,Debenture,AAA,8.61 - 9.22,8.61
8.65% Power Finance Corp. 2020,Bonds,AAA,8.61 - 9.24,8.61
7.59% HUDCO 2020,Bonds,AAA,8.58 - 9.11,8.58
7.75% Tata Capital Housing Finance 2020,Debenture,AAA,8.54 - 9.04,8.54
6.83% REC 2020,Debenture,AAA,8.52 - 9.01,8.52
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 8.18,8.18
8% Shriram Transport Finance 2020,Debenture,AA+,7.52 - 8.10,7.58
8.03% Uttar Pradesh State 2020,State Development Loan,SOV,4.40 - 4.73,4.40
7.2% IRFC 2020,Bonds,AAA,3.25 - 3.45,3.25
7.7% HUDCO 2020,Debenture,AAA,1.03 - 1.10,1.03
6. HSBC Fixed Term Series 129 - Regular Plan
7.7% Sundaram Bnp Paribas Home Finance 2020,Debenture,AA+,9.99 - 10.15,10.14
Shriram City Union Finance 2020,Debenture,AA+,9.89 - 10.06,10.06
10.1% Power Grid Corporation 2020,Bonds,AAA,8.72 - 9.46,8.72
8.37% National Bank Agr. Rur. Devp 2020,Debenture,AAA,8.61 - 9.22,8.61
8.65% Power Finance Corp. 2020,Bonds,AAA,8.61 - 9.24,8.61
7.59% HUDCO 2020,Bonds,AAA,8.58 - 9.11,8.58
7.75% Tata Capital Housing Finance 2020,Debenture,AAA,8.54 - 9.04,8.54
6.83% REC 2020,Debenture,AAA,8.52 - 9.01,8.52
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 8.18,8.18
8% Shriram Transport Finance 2020,Debenture,AA+,7.52 - 8.10,7.58
8.03% Uttar Pradesh State 2020,State Development Loan,SOV,4.40 - 4.73,4.40
7.2% IRFC 2020,Bonds,AAA,3.25 - 3.45,3.25
7.7% HUDCO 2020,Debenture,AAA,1.03 - 1.10,1.03
7. HSBC Fixed Term Series 130 - Direct Plan
7.4% National Bank Agr. Rur. Devp 2021,Debenture,AAA,10.38 - 11.03,10.38
7.14% HUDCO 2020,Non Convertible Debenture,AAA,10.35 - 10.95,10.35
6.99% REC 2020,Debenture,AAA,10.31 - 10.93,10.31
7.64% Can Fin Homes 2021,Debenture,AA+,0.00 - 10.46,10.16
7.5% Power Finance Corp. 2020,Bonds,AAA,9.98 - 10.65,9.98
7.85% Tata Sons 2021,Privately Placed Debts,AAA,9.53 - 10.16,9.53
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,8.78 - 9.32,8.78
8.39% Rajasthan State 2021,State Development Loan,SOV,8.43 - 9.04,8.43
8.75% HDFC 2021,Debenture,AAA,7.79 - 8.29,7.79
7.65% IRFC 2021,Debenture,AAA,2.00 - 7.95,7.75
8. HSBC Fixed Term Series 130 - Regular Plan
7.4% National Bank Agr. Rur. Devp 2021,Debenture,AAA,10.38 - 11.03,10.38
7.14% HUDCO 2020,Non Convertible Debenture,AAA,10.35 - 10.95,10.35
6.99% REC 2020,Debenture,AAA,10.31 - 10.93,10.31
7.64% Can Fin Homes 2021,Debenture,AA+,0.00 - 10.46,10.16
7.5% Power Finance Corp. 2020,Bonds,AAA,9.98 - 10.65,9.98
7.85% Tata Sons 2021,Privately Placed Debts,AAA,9.53 - 10.16,9.53
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,8.78 - 9.32,8.78
8.39% Rajasthan State 2021,State Development Loan,SOV,8.43 - 9.04,8.43
8.75% HDFC 2021,Debenture,AAA,7.79 - 8.29,7.79
7.65% IRFC 2021,Debenture,AAA,2.00 - 7.95,7.75
9. HSBC Fixed Term Series 131 - Direct Plan
7.55% Maharashtra State 2021,State Development Loan,SOV,11.29 - 11.98,11.29
7.65% IRFC 2021,Debenture,AAA,10.78 - 11.40,10.78
7.65% SIDBI 2021,Debenture,AAA,10.75 - 11.37,10.75
7.7% REC 2021,Bonds/NCDs,AAA,10.47 - 11.14,10.47
Bajaj Housing Finance 2021,Bonds/NCDs,AAA,10.01 - 10.19,10.19
Bajaj Finance 2021,Zero Coupon Bonds,AAA,9.36 - 9.58,9.58
9.18% Power Finance Corp. 2021,Bonds,AAA,9.55 - 10.25,9.55
8.25% Tata Sons 2021,Debenture,AAA,8.88 - 9.47,8.88
8.4029% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 8.44,8.44
8.32% Power Grid Corporation 2020,Bonds,AAA,0.00 - 4.97,4.97
7.68% HUDCO 2021,Debenture,AAA,0.45 - 0.47,0.45
10. HSBC Fixed Term Series 131 - Regular Plan
7.55% Maharashtra State 2021,State Development Loan,SOV,11.29 - 11.98,11.29
7.65% IRFC 2021,Debenture,AAA,10.78 - 11.40,10.78
7.65% SIDBI 2021,Debenture,AAA,10.75 - 11.37,10.75
7.7% REC 2021,Bonds/NCDs,AAA,10.47 - 11.14,10.47
Bajaj Housing Finance 2021,Bonds/NCDs,AAA,10.01 - 10.19,10.19
Bajaj Finance 2021,Zero Coupon Bonds,AAA,9.36 - 9.58,9.58
9.18% Power Finance Corp. 2021,Bonds,AAA,9.55 - 10.25,9.55
8.25% Tata Sons 2021,Debenture,AAA,8.88 - 9.47,8.88
8.4029% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 8.44,8.44
8.32% Power Grid Corporation 2020,Bonds,AAA,0.00 - 4.97,4.97
7.68% HUDCO 2021,Debenture,AAA,0.45 - 0.47,0.45
11. HSBC Fixed Term Series 132 - Direct Plan
Bajaj Housing Finance 2021,Bonds/NCDs,AAA,11.85 - 12.13,12.13
7.6% REC 2021,Bonds/NCDs,AAA,10.59 - 11.18,10.59
9.18% Power Finance Corp. 2021,Bonds,AAA,9.71 - 10.35,9.71
7.45% United Spirits 2020,Debenture,AA+,8.79 - 9.32,8.79
JM Financial Products 2021,Debenture,AA,7.33 - 7.40,7.34
India Infoline Finance 2021,Debenture,AA,7.31 - 7.38,7.33
IIFL Home Finance 2021,Debenture,AA,7.29 - 7.44,7.32
7.73% HUDCO 2021,Debenture,AAA,7.07 - 7.40,7.07
Edelweiss Rural & Corporate Services 2021,Deep Discount Bonds,AA-,0.00 - 7.16,6.99
7.56% Tube Investments Of India 2020,Debenture,AA+,0.00 - 6.79,6.63
8.39% Rajasthan State 2021,State Development Loan,SOV,4.56 - 4.84,4.56
7.65% IRFC 2021,Debenture,AAA,1.37 - 3.99,3.91
9.15% Shriram Transport Finance,Bonds,AA+,3.49 - 3.87,3.54
12. HSBC Fixed Term Series 132 - Regular Plan
Bajaj Housing Finance 2021,Bonds/NCDs,AAA,11.85 - 12.13,12.13
7.6% REC 2021,Bonds/NCDs,AAA,10.59 - 11.18,10.59
9.18% Power Finance Corp. 2021,Bonds,AAA,9.71 - 10.35,9.71
7.45% United Spirits 2020,Debenture,AA+,8.79 - 9.32,8.79
JM Financial Products 2021,Debenture,AA,7.33 - 7.40,7.34
India Infoline Finance 2021,Debenture,AA,7.31 - 7.38,7.33
IIFL Home Finance 2021,Debenture,AA,7.29 - 7.44,7.32
7.73% HUDCO 2021,Debenture,AAA,7.07 - 7.40,7.07
Edelweiss Rural & Corporate Services 2021,Deep Discount Bonds,AA-,0.00 - 7.16,6.99
7.56% Tube Investments Of India 2020,Debenture,AA+,0.00 - 6.79,6.63
8.39% Rajasthan State 2021,State Development Loan,SOV,4.56 - 4.84,4.56
7.65% IRFC 2021,Debenture,AAA,1.37 - 3.99,3.91
9.15% Shriram Transport Finance,Bonds,AA+,3.49 - 3.87,3.54
13. HSBC Fixed Term Series 133 - Direct Plan
7.65% SIDBI 2021,Debenture,AAA,9.66 - 10.12,9.66
8.12% Nabha Power 2021,Debenture,AAA,9.37 - 9.95,9.37
7.68% HUDCO 2021,Debenture,AAA,9.27 - 9.72,9.27
8.4029% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 9.19,9.19
8.39% Rajasthan State 2021,State Development Loan,SOV,8.95 - 9.49,8.95
8.8% IDFC First Bank 2021,Debenture,AA,0.00 - 8.60,8.48
JM Financial Products 2021,Debenture,AA,7.28 - 7.40,7.36
7.45% United Spirits 2020,Debenture,AA+,7.24 - 7.66,7.24
Bajaj Finance 2021,Zero Coupon Bonds,AAA,6.41 - 6.62,6.62
IIFL Home Finance 2021,Debenture,AA,5.07 - 5.18,5.13
Edelweiss Rural & Corporate Services 2021,Deep Discount Bonds,AA-,0.00 - 5.19,5.10
7.65% IRFC 2021,Debenture,AAA,0.39 - 4.72,4.66
8.5% Vedanta 2021,Debenture,AA,4.59 - 4.93,4.63
14. HSBC Fixed Term Series 133 - Regular Plan
7.65% SIDBI 2021,Debenture,AAA,9.66 - 10.12,9.66
8.12% Nabha Power 2021,Debenture,AAA,9.37 - 9.95,9.37
7.68% HUDCO 2021,Debenture,AAA,9.27 - 9.72,9.27
8.4029% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 9.19,9.19
8.39% Rajasthan State 2021,State Development Loan,SOV,8.95 - 9.49,8.95
8.8% IDFC First Bank 2021,Debenture,AA,0.00 - 8.60,8.48
JM Financial Products 2021,Debenture,AA,7.28 - 7.40,7.36
7.45% United Spirits 2020,Debenture,AA+,7.24 - 7.66,7.24
Bajaj Finance 2021,Zero Coupon Bonds,AAA,6.41 - 6.62,6.62
IIFL Home Finance 2021,Debenture,AA,5.07 - 5.18,5.13
Edelweiss Rural & Corporate Services 2021,Deep Discount Bonds,AA-,0.00 - 5.19,5.10
7.65% IRFC 2021,Debenture,AAA,0.39 - 4.72,4.66
8.5% Vedanta 2021,Debenture,AA,4.59 - 4.93,4.63
15. HSBC Fixed Term Series 134 - Direct Plan
8.15% Rajasthan State 2021,State Development Loan,SOV,11.88 - 12.72,12.59
8.25% L&T Finance 2021,Debenture,AAA,10.63 - 11.31,11.10
8.3873% Indiabulls Housing Finance 2021,Non Convertible Debenture,AA+,0.00 - 10.33,10.33
9.57% IRFC 2021,Bonds,AAA,9.26 - 9.89,9.77
8.5% SIDBI 2021,Debenture,AAA,9.04 - 9.65,9.57
7.73% REC 2021,Debenture,AAA,8.86 - 9.41,9.39
9.61% Power Finance Corp. 2021,Bonds,AAA,7.39 - 7.85,7.81
9.3% Power Grid Corporation 2021,Bonds,AAA,6.12 - 6.55,6.48
6.84% NHPC 2021,Non Convertible Debenture,AAA,0.00 - 6.24,6.23
Kotak Mahindra Prime 2021,Bonds/NCDs,AAA,4.60 - 5.15,5.15
9.7% Power Finance Corp. 2021,Bonds,AAA,3.06 - 3.25,3.23
8.9% Dewan Housing Fin. Corpn. 2021,Debenture,D,0.00 - 3.01,2.96
7.65% IRFC 2021,Debenture,AAA,0.00 - 0.64,0.63
16. HSBC Fixed Term Series 134 - Regular Plan
8.15% Rajasthan State 2021,State Development Loan,SOV,11.88 - 12.72,12.59
8.25% L&T Finance 2021,Debenture,AAA,10.63 - 11.31,11.10
8.3873% Indiabulls Housing Finance 2021,Non Convertible Debenture,AA+,0.00 - 10.33,10.33
9.57% IRFC 2021,Bonds,AAA,9.26 - 9.89,9.77
8.5% SIDBI 2021,Debenture,AAA,9.04 - 9.65,9.57
7.73% REC 2021,Debenture,AAA,8.86 - 9.41,9.39
9.61% Power Finance Corp. 2021,Bonds,AAA,7.39 - 7.85,7.81
9.3% Power Grid Corporation 2021,Bonds,AAA,6.12 - 6.55,6.48
6.84% NHPC 2021,Non Convertible Debenture,AAA,0.00 - 6.24,6.23
Kotak Mahindra Prime 2021,Bonds/NCDs,AAA,4.60 - 5.15,5.15
9.7% Power Finance Corp. 2021,Bonds,AAA,3.06 - 3.25,3.23
8.9% Dewan Housing Fin. Corpn. 2021,Debenture,D,0.00 - 3.01,2.96
7.65% IRFC 2021,Debenture,AAA,0.00 - 0.64,0.63
17. HSBC Fixed Term Series 135 - Direct Plan
8.15% Rajasthan State 2021,State Development Loan,SOV,11.42 - 12.21,12.08
8.32% Reliance Jio Infocomm 2021,Debenture,AAA,11.21 - 11.97,11.87
8.9248% L&T Finance 2021,Non Convertible Debenture,AAA,11.31 - 12.03,11.77
8.5% SIDBI 2021,Debenture,AAA,11.13 - 11.87,11.77
7.7% REC 2021,Bonds/NCDs,AAA,11.07 - 11.75,11.71
Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 10.61,10.61
8.5% NHPC 2021,Bonds/Debentures,AAA,8.57 - 9.16,9.08
7.65% IRFC 2021,Debenture,AAA,2.83 - 7.76,7.75
Sundaram Finance 2021,Debenture,AAA,4.42 - 4.95,4.95
8.9% Dewan Housing Fin. Corpn. 2021,Debenture,D,0.00 - 2.99,2.95
8.32% Power Grid Corporation 2020,Bonds,AAA,0.00 - 0.30,0.30
18. HSBC Fixed Term Series 135 - Regular Plan
8.15% Rajasthan State 2021,State Development Loan,SOV,11.42 - 12.21,12.08
8.32% Reliance Jio Infocomm 2021,Debenture,AAA,11.21 - 11.97,11.87
8.9248% L&T Finance 2021,Non Convertible Debenture,AAA,11.31 - 12.03,11.77
8.5% SIDBI 2021,Debenture,AAA,11.13 - 11.87,11.77
7.7% REC 2021,Bonds/NCDs,AAA,11.07 - 11.75,11.71
Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 10.61,10.61
8.5% NHPC 2021,Bonds/Debentures,AAA,8.57 - 9.16,9.08
7.65% IRFC 2021,Debenture,AAA,2.83 - 7.76,7.75
Sundaram Finance 2021,Debenture,AAA,4.42 - 4.95,4.95
8.9% Dewan Housing Fin. Corpn. 2021,Debenture,D,0.00 - 2.99,2.95
8.32% Power Grid Corporation 2020,Bonds,AAA,0.00 - 0.30,0.30
19. HSBC Fixed Term Series 136 - Direct Plan
8.75% Kotak Mahindra Prime 2021,Debenture,AAA,11.05 - 11.76,11.75
8.65% Gujarat State 2021,State Development Loan,SOV,10.29 - 10.98,10.88
8.37% National Bank Agr. Rur. Devp 2021,Debenture,AAA,10.09 - 10.76,10.67
8.32% Reliance Jio Infocomm 2021,Debenture,AAA,9.95 - 10.61,10.52
7.4% Power Finance Corp. 2021,Bonds,AAA,9.82 - 10.47,10.45
8.75% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 9.43,9.43
Edelweiss Rural & Corporate Services 2021,Deep Discount Bonds,AA-,0.00 - 7.66,7.50
9.18% Vedanta 2021,Debenture,AA,6.94 - 7.36,7.27
9.23% Talwandi Sabo Power 2021,Debenture,AA,6.92 - 7.34,7.20
8.32% Power Grid Corporation 2020,Bonds,AAA,0.00 - 4.89,4.89
7.65% IRFC 2021,Debenture,AAA,0.00 - 3.20,3.17
9.05% Dewan Housing Fin. Corpn. 2021,Debenture,D,0.00 - 2.65,2.61
20. HSBC Fixed Term Series 136 - Regular Plan
8.75% Kotak Mahindra Prime 2021,Debenture,AAA,11.05 - 11.76,11.75
8.65% Gujarat State 2021,State Development Loan,SOV,10.29 - 10.98,10.88
8.37% National Bank Agr. Rur. Devp 2021,Debenture,AAA,10.09 - 10.76,10.67
8.32% Reliance Jio Infocomm 2021,Debenture,AAA,9.95 - 10.61,10.52
7.4% Power Finance Corp. 2021,Bonds,AAA,9.82 - 10.47,10.45
8.75% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 9.43,9.43
Edelweiss Rural & Corporate Services 2021,Deep Discount Bonds,AA-,0.00 - 7.66,7.50
9.18% Vedanta 2021,Debenture,AA,6.94 - 7.36,7.27
9.23% Talwandi Sabo Power 2021,Debenture,AA,6.92 - 7.34,7.20
8.32% Power Grid Corporation 2020,Bonds,AAA,0.00 - 4.89,4.89
7.65% IRFC 2021,Debenture,AAA,0.00 - 3.20,3.17
9.05% Dewan Housing Fin. Corpn. 2021,Debenture,D,0.00 - 2.65,2.61
21. HSBC Fixed Term Series 137 - Direct Plan
Aditya Birla Finance 2022,Debenture,AAA,9.68 - 9.80,9.74
Aditya Birla Housing Finance 2022,Debenture,AAA,0.00 - 9.79,9.69
9.4756% Tata Capital Financial Services 2022,Non Convertible Debenture,AAA,9.01 - 9.49,9.01
9.36% West Bengal State 2022,State Development Loan,SOV,8.41 - 8.89,8.41
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 8.25,8.25
8.81% SIDBI 2022,Debenture,AAA,8.22 - 8.68,8.22
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,8.16 - 8.61,8.16
8.4% HUDCO 2022,Non Convertible Debenture,AAA,8.14 - 8.57,8.14
8.45% REC 2022,Debenture,AAA,8.11 - 8.56,8.11
7.6% Nat. Highways Authority 2022,Bonds,AAA,8.02 - 8.42,8.02
7.27% Power Finance Corp. 2021,Debenture,AAA,7.90 - 8.20,7.90
8.88% Haryana State 2022,State Development Loan,SOV,0.83 - 0.88,0.83
8.95% Maharashtra State 2022,State Development Loan,SOV,0.00 - 0.44,0.42
22. HSBC Fixed Term Series 137 - Regular Plan
Aditya Birla Finance 2022,Debenture,AAA,9.68 - 9.80,9.74
Aditya Birla Housing Finance 2022,Debenture,AAA,0.00 - 9.79,9.69
9.4756% Tata Capital Financial Services 2022,Non Convertible Debenture,AAA,9.01 - 9.49,9.01
9.36% West Bengal State 2022,State Development Loan,SOV,8.41 - 8.89,8.41
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 8.25,8.25
8.81% SIDBI 2022,Debenture,AAA,8.22 - 8.68,8.22
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,8.16 - 8.61,8.16
8.4% HUDCO 2022,Non Convertible Debenture,AAA,8.14 - 8.57,8.14
8.45% REC 2022,Debenture,AAA,8.11 - 8.56,8.11
7.6% Nat. Highways Authority 2022,Bonds,AAA,8.02 - 8.42,8.02
7.27% Power Finance Corp. 2021,Debenture,AAA,7.90 - 8.20,7.90
8.88% Haryana State 2022,State Development Loan,SOV,0.83 - 0.88,0.83
8.95% Maharashtra State 2022,State Development Loan,SOV,0.00 - 0.44,0.42
23. HSBC Fixed Term Series 139 - Direct Plan
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.79 - 11.99,11.99
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,11.29 - 11.84,11.29
8.23% HUDCO 2022,Non Convertible Debenture,AAA,11.22 - 11.72,11.22
Bajaj Housing Finance 2022,Debenture,AAA,9.78 - 9.93,9.93
8.81% SIDBI 2022,Debenture,AAA,9.10 - 9.55,9.10
8.45% REC 2022,Debenture,AAA,8.98 - 9.41,8.98
L&T Finance 2022,Debenture,AAA,2.67 - 6.65,8.97
7.6% Nat. Highways Authority 2022,Bonds,AAA,8.88 - 9.28,8.88
8.39% Rajasthan State 2026,State Development Loan,SOV,7.93 - 8.34,7.93
8.58% HDFC 2022,Debenture,AAA,0.00 - 6.97,6.73
24. HSBC Fixed Term Series 139 - Regular Plan
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.79 - 11.99,11.99
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,11.29 - 11.84,11.29
8.23% HUDCO 2022,Non Convertible Debenture,AAA,11.22 - 11.72,11.22
Bajaj Housing Finance 2022,Debenture,AAA,9.78 - 9.93,9.93
8.81% SIDBI 2022,Debenture,AAA,9.10 - 9.55,9.10
8.45% REC 2022,Debenture,AAA,8.98 - 9.41,8.98
L&T Finance 2022,Debenture,AAA,2.67 - 6.65,8.97
7.6% Nat. Highways Authority 2022,Bonds,AAA,8.88 - 9.28,8.88
8.39% Rajasthan State 2026,State Development Loan,SOV,7.93 - 8.34,7.93
8.58% HDFC 2022,Debenture,AAA,0.00 - 6.97,6.73
25. HSBC Fixed Term Series 140 - Direct Plan
7.95% SIDBI 2022,Debenture,AAA,11.39 - 11.68,11.39
8.3% Reliance Industries 2022,Debenture,AAA,11.38 - 11.72,11.38
7.9% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,11.34 - 11.66,11.34
Sundaram Finance 2022,Zero Coupon Bonds,AAA,0.00 - 9.88,9.88
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 9.83,9.83
Aditya Birla Housing Finance 2022,Debenture,AAA,0.00 - 9.58,9.48
8.35% REC 2022,Debenture,AAA,8.83 - 9.10,8.83
9.13% Gujarat State 2022,State Development Loan,SOV,8.41 - 8.64,8.41
7.93% NTPC 2022,Non Convertible Debenture,AAA,0.00 - 6.50,6.34
8.9% L&T Finance 2022,Debenture,AAA,0.00 - 6.59,6.31
8.7% L&T Finance 2022,Debenture,AAA,0.00 - 3.11,2.98
26. HSBC Fixed Term Series 140 - Regular Plan
7.95% SIDBI 2022,Debenture,AAA,11.39 - 11.68,11.39
8.3% Reliance Industries 2022,Debenture,AAA,11.38 - 11.72,11.38
7.9% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,11.34 - 11.66,11.34
Sundaram Finance 2022,Zero Coupon Bonds,AAA,0.00 - 9.88,9.88
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 9.83,9.83
Aditya Birla Housing Finance 2022,Debenture,AAA,0.00 - 9.58,9.48
8.35% REC 2022,Debenture,AAA,8.83 - 9.10,8.83
9.13% Gujarat State 2022,State Development Loan,SOV,8.41 - 8.64,8.41
7.93% NTPC 2022,Non Convertible Debenture,AAA,0.00 - 6.50,6.34
8.9% L&T Finance 2022,Debenture,AAA,0.00 - 6.59,6.31
8.7% L&T Finance 2022,Debenture,AAA,0.00 - 3.11,2.98
27. HSBC Flexi Debt Fund
7.32% GOI 2024,GOI Securities,SOV,0.00 - 22.12,22.12
7.27% GOI 2026,GOI Securities,SOV,0.00 - 16.16,16.16
6.68% GOI 2031,GOI Securities,SOV,0.00 - 11.98,11.98
8.35% REC 2022,Debenture,AAA,0.00 - 9.07,9.07
8.37% HUDCO 2029,Debenture,AAA,0.00 - 10.88,7.04
8.3% IRFC 2029,Debenture,AAA,0.00 - 6.96,6.96
8.95% Reliance Industries 2028,Debenture,AAA,0.00 - 6.56,4.71
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 4.37,4.37
7.57% GOI 2033,GOI Securities,SOV,0.00 - 4.20,4.20
28. HSBC Flexi Debt Fund - Direct Plan
7.32% GOI 2024,GOI Securities,SOV,0.00 - 22.12,22.12
7.27% GOI 2026,GOI Securities,SOV,0.00 - 16.16,16.16
6.68% GOI 2031,GOI Securities,SOV,0.00 - 11.98,11.98
8.35% REC 2022,Debenture,AAA,0.00 - 9.07,9.07
8.37% HUDCO 2029,Debenture,AAA,0.00 - 10.88,7.04
8.3% IRFC 2029,Debenture,AAA,0.00 - 6.96,6.96
8.95% Reliance Industries 2028,Debenture,AAA,0.00 - 6.56,4.71
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 4.37,4.37
7.57% GOI 2033,GOI Securities,SOV,0.00 - 4.20,4.20
29. HSBC Flexi Debt Fund - Regular Plan
7.32% GOI 2024,GOI Securities,SOV,0.00 - 22.12,22.12
7.27% GOI 2026,GOI Securities,SOV,0.00 - 16.16,16.16
6.68% GOI 2031,GOI Securities,SOV,0.00 - 11.98,11.98
8.35% REC 2022,Debenture,AAA,0.00 - 9.07,9.07
8.37% HUDCO 2029,Debenture,AAA,0.00 - 10.88,7.04
8.3% IRFC 2029,Debenture,AAA,0.00 - 6.96,6.96
8.95% Reliance Industries 2028,Debenture,AAA,0.00 - 6.56,4.71
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 4.37,4.37
7.57% GOI 2033,GOI Securities,SOV,0.00 - 4.20,4.20
30. HSBC Low Duration Fund
IDFC First Bank 2020,Certificate of Deposit,A1+,0.00 - 12.00,12.00
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 11.97,11.97
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 11.78,11.78
8.5% SIDBI 2021,Debenture,AAA,0.00 - 12.39,10.06
7.87% HDFC 2022,Non Convertible Debenture,AAA,0.00 - 7.44,7.44
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 7.21,7.21
National Bank Agr. Rur. Devp 2020,Commercial Paper,A1+,0.00 - 7.01,7.01
7.65% IRFC 2021,Debenture,AAA,0.00 - 4.97,4.97
7.6% LIC Housing Fin. 2022,Debenture,AAA,0.00 - 4.92,4.92
7.7% Orix Leasing & Financial Services 2020,Non Convertible Debenture,AAA,4.72 - 10.74,4.82
31. HSBC Low Duration Fund - Direct Plan
IDFC First Bank 2020,Certificate of Deposit,A1+,0.00 - 12.00,12.00
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 11.97,11.97
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 11.78,11.78
8.5% SIDBI 2021,Debenture,AAA,0.00 - 12.39,10.06
7.87% HDFC 2022,Non Convertible Debenture,AAA,0.00 - 7.44,7.44
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 7.21,7.21
National Bank Agr. Rur. Devp 2020,Commercial Paper,A1+,0.00 - 7.01,7.01
7.65% IRFC 2021,Debenture,AAA,0.00 - 4.97,4.97
7.6% LIC Housing Fin. 2022,Debenture,AAA,0.00 - 4.92,4.92
